[run] config=configs/default.yaml device=cuda:0
[run] model=resnet1d
[run] window_size=1
[run] normalize_mode=mean_rms
[run] aoa_cache_root=D:\Files\WiFi_Pose\WiFiPoseV3\data\aoa_cache
[run] labels_root=D:\Files\WiFi_Pose\WiFiPoseV3\data\dataset
[run] val_env=env3 test_env=env4
[run] logs_file=C:\Users\LuvRene\OneDrive\PythonProjects\Positioning\pose_estimationV2\logs\train\ablation_meanrms_interdiv_divsel_actionaux005_resnet1d_20260327-170111.log
[run] selection_mode=diversity_first lambda_var=0.000 lambda_batch_div=0.000 lambda_inter_div=0.250 lambda_intra_div=0.000
[train] epoch=2/8 step=48/100 loss=0.526814 grad_norm=0.365 action_cls=3.286024 action_acc=0.016
[train] epoch=2/8 step=49/100 loss=0.511125 grad_norm=0.341 action_cls=3.283314 action_acc=0.078
[train] epoch=2/8 step=50/100 loss=0.541074 grad_norm=0.389 action_cls=3.301545 action_acc=0.000
[train] epoch=2/8 step=51/100 loss=0.523111 grad_norm=0.387 action_cls=3.288481 action_acc=0.031
[train] epoch=2/8 step=52/100 loss=0.538852 grad_norm=0.387 action_cls=3.297634 action_acc=0.031
[train] epoch=2/8 step=53/100 loss=0.524986 grad_norm=0.390 action_cls=3.308316 action_acc=0.062
[train] epoch=2/8 step=54/100 loss=0.493070 grad_norm=0.301 action_cls=3.303592 action_acc=0.016
[train] epoch=2/8 step=55/100 loss=0.564949 grad_norm=0.353 action_cls=3.295617 action_acc=0.047
[train] epoch=2/8 step=56/100 loss=0.525826 grad_norm=0.348 action_cls=3.313928 action_acc=0.016
[train] epoch=2/8 step=57/100 loss=0.541642 grad_norm=0.334 action_cls=3.291178 action_acc=0.031
[train] epoch=2/8 step=58/100 loss=0.539985 grad_norm=0.477 action_cls=3.298525 action_acc=0.047
[train] epoch=2/8 step=59/100 loss=0.527604 grad_norm=0.290 action_cls=3.306869 action_acc=0.016
[train] epoch=2/8 step=60/100 loss=0.536440 grad_norm=0.279 action_cls=3.308774 action_acc=0.031
[train] epoch=2/8 step=61/100 loss=0.518677 grad_norm=0.265 action_cls=3.307287 action_acc=0.000
[train] epoch=2/8 step=62/100 loss=0.551145 grad_norm=0.393 action_cls=3.292243 action_acc=0.031
[train] epoch=2/8 step=63/100 loss=0.565281 grad_norm=0.450 action_cls=3.284258 action_acc=0.094
[train] epoch=2/8 step=64/100 loss=0.480940 grad_norm=0.362 action_cls=3.290682 action_acc=0.047
[train] epoch=2/8 step=65/100 loss=0.570327 grad_norm=0.365 action_cls=3.295953 action_acc=0.031
[train] epoch=2/8 step=66/100 loss=0.542058 grad_norm=0.291 action_cls=3.299679 action_acc=0.031
[train] epoch=2/8 step=67/100 loss=0.528665 grad_norm=0.339 action_cls=3.300553 action_acc=0.031
[train] epoch=2/8 step=68/100 loss=0.520969 grad_norm=0.338 action_cls=3.299564 action_acc=0.047
[train] epoch=2/8 step=69/100 loss=0.524300 grad_norm=0.359 action_cls=3.300771 action_acc=0.047
