[run] config=configs/default.yaml device=cuda:0
[run] model=resnet1d
[run] window_size=1
[run] normalize_mode=mean_rms
[run] aoa_cache_root=D:\Files\WiFi_Pose\WiFiPoseV3\data\aoa_cache
[run] labels_root=D:\Files\WiFi_Pose\WiFiPoseV3\data\dataset
[run] val_env=env3 test_env=env4
[run] logs_file=C:\Users\LuvRene\OneDrive\PythonProjects\Positioning\pose_estimationV2\logs\train\ablation_meanrms_interdiv_divsel_actionaux_resnet1d_20260327-164217.log
[run] selection_mode=diversity_first lambda_var=0.000 lambda_batch_div=0.000 lambda_inter_div=0.250 lambda_intra_div=0.000
[train] epoch=2/8 step=53/100 loss=1.020982 grad_norm=0.381 action_cls=3.304451 action_acc=0.078
[train] epoch=2/8 step=54/100 loss=0.988182 grad_norm=0.308 action_cls=3.295836 action_acc=0.031
[train] epoch=2/8 step=55/100 loss=1.056225 grad_norm=0.355 action_cls=3.286630 action_acc=0.047
[train] epoch=2/8 step=56/100 loss=1.024033 grad_norm=0.369 action_cls=3.308520 action_acc=0.016
[train] epoch=2/8 step=57/100 loss=1.036093 grad_norm=0.349 action_cls=3.296594 action_acc=0.031
[train] epoch=2/8 step=58/100 loss=1.035162 grad_norm=0.496 action_cls=3.296914 action_acc=0.047
[train] epoch=2/8 step=59/100 loss=1.025269 grad_norm=0.308 action_cls=3.311354 action_acc=0.031
[train] epoch=2/8 step=60/100 loss=1.032440 grad_norm=0.286 action_cls=3.302423 action_acc=0.016
[train] epoch=2/8 step=61/100 loss=1.013360 grad_norm=0.268 action_cls=3.302413 action_acc=0.000
[train] epoch=2/8 step=62/100 loss=1.040637 grad_norm=0.417 action_cls=3.278941 action_acc=0.078
[train] epoch=2/8 step=63/100 loss=1.057100 grad_norm=0.480 action_cls=3.284263 action_acc=0.109
[train] epoch=2/8 step=64/100 loss=0.973925 grad_norm=0.356 action_cls=3.289013 action_acc=0.031
[train] epoch=2/8 step=65/100 loss=1.065131 grad_norm=0.366 action_cls=3.294277 action_acc=0.047
[train] epoch=2/8 step=66/100 loss=1.035072 grad_norm=0.308 action_cls=3.293263 action_acc=0.047
[train] epoch=2/8 step=67/100 loss=1.022019 grad_norm=0.332 action_cls=3.302496 action_acc=0.016
[train] epoch=2/8 step=68/100 loss=1.015626 grad_norm=0.348 action_cls=3.293850 action_acc=0.031
[train] epoch=2/8 step=69/100 loss=1.020256 grad_norm=0.353 action_cls=3.298625 action_acc=0.031
[train] epoch=2/8 step=70/100 loss=0.997434 grad_norm=0.349 action_cls=3.283596 action_acc=0.062
[train] epoch=2/8 step=71/100 loss=1.050764 grad_norm=0.395 action_cls=3.294101 action_acc=0.062
[train] epoch=2/8 step=72/100 loss=1.043543 grad_norm=0.463 action_cls=3.292579 action_acc=0.062
[train] epoch=2/8 step=73/100 loss=1.057693 grad_norm=0.382 action_cls=3.300389 action_acc=0.031
[train] epoch=2/8 step=74/100 loss=1.001531 grad_norm=0.287 action_cls=3.287303 action_acc=0.062
[train] epoch=2/8 step=75/100 loss=1.037391 grad_norm=0.409 action_cls=3.302672 action_acc=0.016
[train] epoch=2/8 step=76/100 loss=1.029854 grad_norm=0.405 action_cls=3.293955 action_acc=0.062
[train] epoch=2/8 step=77/100 loss=1.023254 grad_norm=0.511 action_cls=3.292070 action_acc=0.062
[train] epoch=2/8 step=78/100 loss=1.026980 grad_norm=0.483 action_cls=3.295701 action_acc=0.047
[train] epoch=2/8 step=79/100 loss=1.014136 grad_norm=0.516 action_cls=3.291374 action_acc=0.016
[train] epoch=2/8 step=80/100 loss=1.027119 grad_norm=0.397 action_cls=3.287036 action_acc=0.047
[train] epoch=2/8 step=81/100 loss=0.987485 grad_norm=0.318 action_cls=3.273634 action_acc=0.062
[train] epoch=2/8 step=82/100 loss=1.024407 grad_norm=0.428 action_cls=3.286639 action_acc=0.016
[train] epoch=2/8 step=83/100 loss=1.078456 grad_norm=0.317 action_cls=3.294224 action_acc=0.078
[train] epoch=2/8 step=84/100 loss=1.048014 grad_norm=0.393 action_cls=3.287948 action_acc=0.047
[train] epoch=2/8 step=85/100 loss=1.030231 grad_norm=0.267 action_cls=3.305063 action_acc=0.016
[train] epoch=2/8 step=86/100 loss=0.992702 grad_norm=0.464 action_cls=3.295105 action_acc=0.031
[train] epoch=2/8 step=87/100 loss=1.040059 grad_norm=0.449 action_cls=3.293437 action_acc=0.000
[train] epoch=2/8 step=88/100 loss=1.038113 grad_norm=0.445 action_cls=3.296066 action_acc=0.047
[train] epoch=2/8 step=89/100 loss=1.040813 grad_norm=0.298 action_cls=3.280224 action_acc=0.094
[train] epoch=2/8 step=90/100 loss=0.981925 grad_norm=0.383 action_cls=3.295712 action_acc=0.016
[train] epoch=2/8 step=91/100 loss=0.999488 grad_norm=0.362 action_cls=3.306772 action_acc=0.047
[train] epoch=2/8 step=92/100 loss=1.062461 grad_norm=0.285 action_cls=3.287180 action_acc=0.078
[train] epoch=2/8 step=93/100 loss=1.022048 grad_norm=0.291 action_cls=3.307575 action_acc=0.047
[train] epoch=2/8 step=94/100 loss=1.023790 grad_norm=0.475 action_cls=3.300952 action_acc=0.047
[train] epoch=2/8 step=95/100 loss=1.038816 grad_norm=0.386 action_cls=3.288017 action_acc=0.062
[train] epoch=2/8 step=96/100 loss=1.030741 grad_norm=0.434 action_cls=3.299833 action_acc=0.016
[train] epoch=2/8 step=97/100 loss=1.032057 grad_norm=0.411 action_cls=3.281117 action_acc=0.047
[train] epoch=2/8 step=98/100 loss=1.049837 grad_norm=0.480 action_cls=3.316756 action_acc=0.031
[train] epoch=2/8 step=99/100 loss=1.024130 grad_norm=0.317 action_cls=3.287481 action_acc=0.078
[train] epoch=2/8 step=100/100 loss=1.031502 grad_norm=0.333 action_cls=3.302608 action_acc=0.016
